,DATA_ITEM,RESOURCE_NAME,OPR_DATE,INTERVAL_NUM,INTERVAL_START_GMT,INTERVAL_END_GMT,VALUE
162,SYS_FCST_DA_MW,BANCRSVL,2025-09-09,22,2025-09-10T04:00:00-00:00,2025-09-10T05:00:00-00:00,169.87
163,SYS_FCST_DA_MW,BANCRSVL,2025-09-09,23,2025-09-10T05:00:00-00:00,2025-09-10T06:00:00-00:00,150.63
164,SYS_FCST_DA_MW,BANCRSVL,2025-09-09,14,2025-09-09T20:00:00-00:00,2025-09-09T21:00:00-00:00,159.73
165,SYS_FCST_DA_MW,BANCRSVL,2025-09-09,18,2025-09-10T00:00:00-00:00,2025-09-10T01:00:00-00:00,208.84
166,SYS_FCST_DA_MW,BANCRSVL,2025-09-09,19,2025-09-10T01:00:00-00:00,2025-09-10T02:00:00-00:00,204.9
167,SYS_FCST_DA_MW,BANCRSVL,2025-09-09,5,2025-09-09T11:00:00-00:00,2025-09-09T12:00:00-00:00,110.25
168,SYS_FCST_DA_MW,BANCSMUD,2025-09-09,7,2025-09-09T13:00:00-00:00,2025-09-09T14:00:00-00:00,1159.79
169,SYS_FCST_DA_MW,BANCSMUD,2025-09-09,9,2025-09-09T15:00:00-00:00,2025-09-09T16:00:00-00:00,1221.29
170,SYS_FCST_DA_MW,BANCSMUD,2025-09-09,23,2025-09-10T05:00:00-00:00,2025-09-10T06:00:00-00:00,1319.2
171,SYS_FCST_DA_MW,BANCSMUD,2025-09-09,6,2025-09-09T12:00:00-00:00,2025-09-09T13:00:00-00:00,1098.97
172,SYS_FCST_DA_MW,BANCSMUD,2025-09-09,5,2025-09-09T11:00:00-00:00,2025-09-09T12:00:00-00:00,1046.42
173,SYS_FCST_DA_MW,BANCSMUD,2025-09-09,21,2025-09-10T03:00:00-00:00,2025-09-10T04:00:00-00:00,1543.11
174,SYS_FCST_DA_MW,BANCSMUD,2025-09-09,16,2025-09-09T22:00:00-00:00,2025-09-09T23:00:00-00:00,1668.53
175,SYS_FCST_DA_MW,BANCSMUD,2025-09-09,15,2025-09-09T21:00:00-00:00,2025-09-09T22:00:00-00:00,1593.76
176,SYS_FCST_DA_MW,BANCSMUD,2025-09-09,8,2025-09-09T14:00:00-00:00,2025-09-09T15:00:00-00:00,1192.24
177,SYS_FCST_DA_MW,BANCSMUD,2025-09-09,2,2025-09-09T08:00:00-00:00,2025-09-09T09:00:00-00:00,1112.04
178,SYS_FCST_DA_MW,BANCSMUD,2025-09-09,3,2025-09-09T09:00:00-00:00,2025-09-09T10:00:00-00:00,1049.87
179,SYS_FCST_DA_MW,BANCSMUD,2025-09-09,17,2025-09-09T23:00:00-00:00,2025-09-10T00:00:00-00:00,1677.05
180,SYS_FCST_DA_MW,BANCSMUD,2025-09-09,14,2025-09-09T20:00:00-00:00,2025-09-09T21:00:00-00:00,1497.93
181,SYS_FCST_DA_MW,BANCSMUD,2025-09-09,13,2025-09-09T19:00:00-00:00,2025-09-09T20:00:00-00:00,1402.73
182,SYS_FCST_DA_MW,BANCSMUD,2025-09-09,1,2025-09-09T07:00:00-00:00,2025-09-09T08:00:00-00:00,1195.02
183,SYS_FCST_DA_MW,BANCSMUD,2025-09-09,22,2025-09-10T04:00:00-00:00,2025-09-10T05:00:00-00:00,1449.39
184,SYS_FCST_DA_MW,BANCSMUD,2025-09-09,18,2025-09-10T00:00:00-00:00,2025-09-10T01:00:00-00:00,1624.52
